Run,Best Epoch,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
run_21,4,46.4248,12.2495,21.0873,43.2109
run_20,4,46.3737,12.1786,21.0142,43.0352
run_19,1,44.7154,11.4411,20.3848,41.5903
run_5,0,30.0450,3.7253,20.0957,29.2156
run_6,3,27.4750,4.2464,18.6057,26.8442
run_16,4,27.1755,3.7828,18.2667,26.5622
run_10,0,25.3422,3.1627,18.0179,24.6584
run_17,2,26.5173,3.6916,18.0126,25.9607
run_14,1,25.5789,3.5848,17.9854,24.8984
run_2,4,26.1262,3.6455,17.9743,25.2491
run_4,4,25.6758,3.5462,17.8864,25.2056
run_18,0,25.9485,3.1116,17.7771,25.5265
run_13,3,31.0161,4.0227,17.7319,28.5341
run_9,4,29.1264,3.9986,17.2255,28.3006
run_3,4,26.9277,3.6857,17.1644,25.4511
run_7,1,28.6929,3.9228,15.4874,25.9571
run_11,0,26.8287,3.2327,14.3806,24.7867
run_12,2,29.3522,3.3528,14.0638,24.4012
run_15,3,27.5872,3.7180,13.7287,22.9362
run_8,3,27.5428,3.6801,13.7028,22.4359
run_1,0,24.5834,3.4026,13.6408,21.8453
