Run,Epochs,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
run_21,4,46.4248,12.2495,21.0873,43.2109
run_20,4,46.3737,12.1786,21.0142,43.0352
run_19,1,44.7154,11.4411,20.3848,41.5903
run_13,4,30.5957,3.8203,17.2776,28.0089
run_9,4,29.1264,3.9986,17.2255,28.3006
run_17,4,28.9851,4.2994,16.6256,27.2364
run_7,4,28.8112,3.8428,14.4035,24.8412
run_14,4,27.7694,4.3712,15.5700,25.0826
run_15,4,27.6141,3.7454,13.6904,22.7243
run_8,4,27.5080,3.7045,13.6479,22.5019
run_5,4,27.4891,3.7484,19.8300,27.0798
run_12,4,27.4345,3.7177,13.6326,22.3231
run_16,4,27.1755,3.7828,18.2667,26.5622
run_18,4,27.1516,3.6622,17.2224,25.9022
run_6,4,27.0336,4.2408,18.5696,26.5515
run_3,4,26.9277,3.6857,17.1644,25.4511
run_11,0,26.8287,3.2327,14.3806,24.7867
run_2,4,26.1262,3.6455,17.9743,25.2491
run_4,4,25.6758,3.5462,17.8864,25.2056
run_10,0,25.3422,3.1627,18.0179,24.6584
run_1,0,24.5834,3.4026,13.6408,21.8453
