Run,Epochs,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
run_16,20,59.1057,20.9501,43.1775,56.3678
run_14,20,58.9108,21.0619,43.4067,56.3495
run_25,20,58.8100,20.9936,43.1994,56.2964
run_15,20,58.7832,20.8489,43.1633,56.2161
run_24,20,58.7446,20.7776,42.8339,56.0431
run_19,20,58.7228,20.6525,42.8823,55.8756
run_18,20,58.7024,20.5591,42.8208,56.0722
run_17,20,58.6077,20.4315,42.7045,55.7712
run_22,20,58.5416,20.4863,42.4863,55.7973
run_20,20,58.4224,20.3003,42.4833,55.6450
run_21,20,58.3821,20.3303,42.5887,55.6266
run_23,20,58.1835,20.0872,42.2849,55.4536
run_13,20,57.8319,19.9086,42.1320,55.2910
run_12,20,56.9159,18.9741,41.2502,54.5903
run_11,20,50.4432,13.6862,34.5675,48.2116
run_10,20,14.6386,1.8657,12.9002,14.4320
run_6,1,8.7739,0.3176,8.4747,8.7707
run_5,5,6.4134,0.0806,5.5861,5.9062
run_3,5,6.3913,0.2262,6.1736,6.3192
run_8,1,6.2660,0.0103,6.2593,6.2776
run_4,1,6.0248,0.0745,5.5919,5.8172
run_9,20,4.3741,0.0018,4.3680,4.3592
run_1,1,3.2215,0.0169,3.2223,3.2299
run_2,5,1.6096,0.0037,1.6180,1.6160
run_7,20,0.1642,0.0000,0.1610,0.1617
